ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
3-331-20-2-05092023-1-1386,Upper Dir,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9935,0.0469,True
3-331-20-2-05092023-1-1387,Upper Dir,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9967,0.0268,True
4-401-10-2-20082023-1-99,Attock,Punjab,Sorghum,Maize,0.9993,0.0064,True
4-401-10-2-21082023-1-231,Attock,Punjab,Maize,Sorghum,0.9943,0.0417,True
4-401-10-2-21082023-1-256,Attock,Punjab,Sorghum,Maize,0.9997,0.0029,True
4-401-10-2-22082023-1-291,Attock,Punjab,Sorghum,Cotton,0.993,0.0467,True
4-402-11-2-20082023-1-126,Bahawalnagar,Punjab,Sorghum,Sesame (Til),0.9995,0.0048,True
4-402-11-2-20082023-1-255,Bahawalnagar,Punjab,Cotton,Sugarcane,0.9986,0.012,True
4-402-11-2-20082023-1-259,Bahawalnagar,Punjab,Jantar,Cotton,0.9963,0.0279,True
4-402-11-2-20082023-1-50,Bahawalnagar,Punjab,Sorghum,Sesame (Til),0.9977,0.0183,True
4-402-11-2-20082023-1-53,Bahawalnagar,Punjab,Rice,Maize,0.9998,0.0024,True
4-402-11-2-20082023-1-66,Bahawalnagar,Punjab,Sorghum,Sugarcane,0.999,0.0098,True
4-402-11-2-21082023-1-282,Bahawalnagar,Punjab,Cotton,Sesame (Til),0.9926,0.0543,True
4-402-11-2-21082023-1-391,Bahawalnagar,Punjab,Jantar,Cotton,0.999,0.0093,True
4-402-11-2-21082023-1-395,Bahawalnagar,Punjab,Jantar,Sesame (Til),0.9991,0.0076,True
4-402-11-2-22082023-1-510,Bahawalnagar,Punjab,Jantar,Cotton,0.9976,0.0199,True
4-402-11-2-22082023-1-519,Bahawalnagar,Punjab,Maize,Cotton,0.9996,0.0041,True
4-402-13-2-20082023-1-202,Bahawalnagar,Punjab,Cotton,Jantar,0.996,0.0281,True
4-402-13-2-20082023-1-53,Bahawalnagar,Punjab,Sorghum,Sugarcane,0.9991,0.0085,True
4-402-13-2-21082023-1-225,Bahawalnagar,Punjab,Cotton,Sorghum,0.9934,0.0452,True
4-402-13-2-21082023-1-310,Bahawalnagar,Punjab,Jantar,Sesame (Til),0.9971,0.0223,True
4-402-13-2-22082023-1-389,Bahawalnagar,Punjab,Sesame (Til),Cotton,0.9989,0.0091,True
4-402-13-2-22082023-1-406,Bahawalnagar,Punjab,Cotton,Sorghum,0.9993,0.0067,True
4-402-13-2-22082023-1-411,Bahawalnagar,Punjab,Maize,Cotton,0.9994,0.0063,True
4-404-10-2-04092023-1-2635,Bhakkar,Punjab,Rice,Sugarcane,0.9997,0.0034,True
4-404-10-2-04092023-1-2708,Bhakkar,Punjab,Sugarcane,Sesame (Til),0.9983,0.0139,True
4-404-10-2-04092023-1-2723,Bhakkar,Punjab,Sorghum,Maize,0.9992,0.0074,True
4-404-10-2-04092023-1-2801,Bhakkar,Punjab,Sugarcane,Rice,0.9994,0.0058,True
4-404-10-2-05092023-1-3008,Bhakkar,Punjab,Sorghum,Maize,0.996,0.0271,True
4-404-10-2-05092023-1-3042,Bhakkar,Punjab,Cotton,Maize,0.9948,0.0392,True
4-404-10-2-05092023-1-3062,Bhakkar,Punjab,Cotton,Sugarcane,0.9992,0.0075,True
4-404-10-2-05092023-1-3123,Bhakkar,Punjab,Cotton,Sugarcane,0.9962,0.0298,True
4-404-10-2-05092023-1-3150,Bhakkar,Punjab,Sorghum,Maize,0.9996,0.0039,True
4-404-10-2-05092023-1-3159,Bhakkar,Punjab,Sorghum,Maize,0.9951,0.0324,True
4-404-10-2-05092023-1-3173,Bhakkar,Punjab,Sorghum,Maize,0.9979,0.0163,True
4-404-10-2-05092023-1-3209,Bhakkar,Punjab,Sorghum,Maize,0.9972,0.0205,True
4-404-10-2-05092023-1-3253,Bhakkar,Punjab,Sorghum,Maize,0.9988,0.0101,True
4-404-10-2-05092023-1-3255,Bhakkar,Punjab,Sorghum,Maize,0.997,0.0235,True
4-404-10-2-05092023-1-3272,Bhakkar,Punjab,Sorghum,Maize,0.9995,0.0045,True
4-404-10-2-05092023-1-3273,Bhakkar,Punjab,Sorghum,Maize,0.9989,0.0095,True
4-404-10-2-05092023-1-3278,Bhakkar,Punjab,Sorghum,Maize,0.9999,0.0014,True
4-404-10-2-05092023-1-3281,Bhakkar,Punjab,Sorghum,Maize,0.9996,0.0035,True
4-404-10-2-05092023-1-3365,Bhakkar,Punjab,Sorghum,Sesame (Til),0.9923,0.0527,True
4-404-10-2-06092023-1-3440,Bhakkar,Punjab,Cotton,Sugarcane,0.9994,0.0056,True
4-404-10-2-06092023-1-3452,Bhakkar,Punjab,Cotton,Sugarcane,0.9981,0.0163,True
4-404-10-2-06092023-1-3489,Bhakkar,Punjab,Sugarcane,Sorghum,0.9985,0.0129,True
4-404-10-2-06092023-1-3506,Bhakkar,Punjab,Cotton,Sesame (Til),0.9999,0.0006,True
4-404-10-2-06092023-1-3522,Bhakkar,Punjab,Cotton,Maize,0.9958,0.0318,True
4-404-16-2-04092023-1-1499,Bhakkar,Punjab,Cotton,Maize,0.9943,0.0412,True
4-404-16-2-04092023-1-1519,Bhakkar,Punjab,Cotton,Sorghum,0.9927,0.0464,True
